,name,text,date
0,John Cleese," Hello again, and welcome to the show. Tonight we 
            continue to look at some famous deaths. Tonight we start with the 
            wonderful death of Genghis Khan, conqueror of India. Take it away, 
            Genghis.",1969-10-05 01:28:12
1,Graham Chapman," 9.1, 9.3, 9.7, that's 28.1 for Genghis Khan.",1969-10-05 02:50:30
2,John Cleese," Bad luck Genghis. Nice to have you on the show. 
            And now here are the scores.",1969-10-05 03:16:25
3,Eric Idle," Well there you can see the scores now. St Stephen 
            in the lead there with his stoning, then comes King Richard the 
            Third at Bosworth Field, a grand death that, then the very lovely 
            Jean d'Arc, then Marat in his bath - best of friends with Charlone 
            in the showers afterwards - then A. Lincoln of the U.S. of A, a 
            grand little chap that, and number six Genghis Khan, and the back 
            marker King Edward the Seventh. Back to you, Wolfgang.",1969-10-05 05:10:57
4,John Cleese," Thank you, Eddie. And now time for this week's 
            request death. ",1969-10-05 05:36:20
5,Graham Chapman, Strewth! ,1969-10-05 05:38:46
6,John Cleese," Oh blimey, how time flies. Sadly we are reaching 
            the end of yet another program and so it is finale time. We are 
            proud to be bringing to you one of the evergreen bucket kickers. 
            Yes, the wonderful death of the famous English Admiral Nelson.",1969-10-05 05:41:55
0,Terry Jones," Ah - good evening everyone, and welcome to the 
            second of our Italian language classes, in which we'll be helping 
            you brush up your Italian. Last week we started at the beginning, 
            and we learnt the Italian for a 'spoon'. Now, I wonder how many of 
            you can remember what it was? ",1969-10-05 05:59:26
1,Terry Jones, Not all at once ... sit down Mario. Giuseppe! ,1969-10-05 06:27:21
2,Michael Palin, II cucchiaio. ,1969-10-05 07:02:43
3,Terry Jones," Well done Giuseppe, or, as the Italians would 
            say: 'Molto bene, Giuseppe'. ",1969-10-05 08:01:50
4,Michael Palin," Grazie signor ... grazie di tutta la sua 
            gentilezza. ",1969-10-05 08:02:56
5,Terry Jones," Well, now, this week we're going to learn some 
            useful phrases to help us open a conversation with an Italian. Now 
            first of all try telling him where you come from. For example, I 
            would say: 'Sono Inglese di Gerrard's Cross', I am an Englishman 
            from Gerrard's Cross. Shall we all try that together? ",1969-10-05 08:16:51
6,Terry Jones," Not too bad, now let's try it with somebody else. 
            Er... Mr... ? ",1969-10-05 09:58:20
7,John Cleese, Mariolini. ,1969-10-05 10:04:08
8,Terry Jones," Ah, Mr. Mariolini, and where are you from? ",1969-10-05 11:02:07
9,John Cleese," Napoli, signor. ",1969-10-05 11:38:44
10,Terry Jones, Ah ... you're an Italian. ,1969-10-05 11:46:47
11,John Cleese," Si, si signor! ",1969-10-05 12:32:53
12,Terry Jones," Well in that case you would say: 'Sono Italiano 
            di Napoli'. ",1969-10-05 13:45:14
13,John Cleese," Ah, capisco, mile grazie signor... ",1969-10-05 14:05:02
14,Eric Idle," Per favore, signor! ",1969-10-05 14:56:54
15,Terry Jones, Yes? ,1969-10-05 15:17:35
16,Eric Idle," Non conosgeve parliamente, signor devo me parlo 
            sono Italiano di Napoli quando il habitare de Milano. ",1969-10-05 15:29:13
17,Terry Jones, I'm sorry ... I don't understand! ,1969-10-05 15:45:43
18,Michael Palin, ,1969-10-05 17:10:31
19,Graham Chapman, Bitte mein Herr. Was ist das Won für Mittelschmerz?,1969-10-05 20:09:34
20,Terry Jones, Ah! Helmut - you want the German classes. ,1969-10-05 20:17:54
21,Graham Chapman, Oh ja! Danke schön. ,1969-10-05 20:36:28
22,Michael Palin," My friend he say, 'Why must I say I am Italian 
            from Napoli when he lives in Milan?' ",1969-10-05 20:36:32
23,Terry Jones," Ah, I... well, tell your friend ... if he lives 
            in Milan he must say 'Sono Italiano di Milano...' ",1969-10-05 21:31:51
24,Eric Idle, ,1969-10-05 22:43:39
25,Michael Palin, He say 'Milan is better than Napoil'. ,1969-10-05 22:48:38
26,Terry Jones," Oh, he shouldn't be saying that, we haven't done 
            comparatives yet. ",1969-10-06 01:15:47
1,Graham Chapman," I can't tell the difference 
            between Whizzo butter and this dead crab. ",1969-10-06 03:45:20
