,name,text
0,ARTHUR, Whoa there! 
1,SOLDIER #1, Halt! Who goes there? 
2,ARTHUR," It is I, Arthur, son of Uther Pendragon, from 
        the castle of Camelot. King of the Britons, defeater of the Saxons, 
        Sovereign of all England! "
3,SOLDIER #1, Pull the other one! 
4,ARTHUR," I am, and this is my trusty servant Patsy. We 
        have ridden the length and breadth of the land in search of knights who 
        will join me in my court at Camelot. I must speak with your lord and 
        master. "
5,SOLDIER #1, What? Ridden on a horse? 
6,ARTHUR, Yes! 
7,SOLDIER #1, You're using coconuts! 
8,ARTHUR, What? 
9,SOLDIER #1," You've got two empty halves of coconut and 
        you're bangin' 'em together. "
10,ARTHUR," So? We have ridden since the snows of winter 
        covered this land, through the kingdom of Mercia, through-- "
11,SOLDIER #1, Where'd you get the coconuts? 
12,ARTHUR, We found them. 
13,SOLDIER #1," Found them? In Mercia? The coconut's 
        tropical! "
14,ARTHUR, What do you mean? 
15,SOLDIER #1," Well, this is a temperate zone. "
16,ARTHUR," The swallow may fly south with the sun or the 
        house martin or the plover may seek warmer climes in winter, yet these 
        are not strangers to our land? "
17,SOLDIER #1, Are you suggesting coconuts migrate? 
18,SOLDIER #1, What? A swallow carrying a coconut? 
19,SOLDIER #1," It's not a question of where he grips it! 
        It's a simple question of weight ratios! A five ounce bird could not 
        carry a one pound coconut. "
20,ARTHUR," Well, it doesn't matter. Will you go and tell 
        your master that Arthur from the Court of Camelot is here? "
21,SOLDIER #1," Listen. In order to maintain air-speed 
        velocity, a swallow needs to beat its wings forty-three times every 
        second, right? "
22,ARTHUR, Please! 
23,SOLDIER #1, Am I right? 
24,ARTHUR, I'm not interested! 
25,SOLDIER #2," It could be carried by an African swallow!
        "
26,SOLDIER #1," Oh, yeah, an African swallow maybe, but not 
        a European swallow. That's my point. "
27,SOLDIER #2," Oh, yeah, I agree with that. "
28,ARTHUR," Will you ask your master if he wants to join my 
        court at Camelot?! "
29,SOLDIER #1," But then of course, uh, African swallows are 
        non-migratory. "
30,SOLDIER #2," Oh, yeah. "
31,SOLDIER #1," So, they couldn't bring a coconut back 
        anyway. "
32,SOLDIER #2," Wait a minute! Supposing two swallows 
        carried it together? "
33,SOLDIER #1," No, they'd have to have it on a line. "
34,SOLDIER #2," Well, simple! They'd just use a strand of 
        creeper! "
35,SOLDIER #1," What, held under the dorsal guiding 
        feathers? "
36,SOLDIER #2," Well, why not? "
37,CART MASTER, Bring out your dead! 
38,CUSTOMER, Here's one. 
39,CART MASTER, Nine pence. 
40,DEAD PERSON, I'm not dead! 
41,CART MASTER, What? 
42,CUSTOMER, Nothing. Here's your nine pence. 
43,DEAD PERSON, I'm not dead! 
44,CART MASTER, 'Ere. He says he's not dead! 
45,CUSTOMER," Yes, he is. "
46,DEAD PERSON, I'm not! 
47,CART MASTER, He isn't? 
48,CUSTOMER," Well, he will be soon. He's very ill. "
49,DEAD PERSON, I'm getting better! 
50,CUSTOMER," No, you're not. You'll be stone dead in a moment.
        "
51,CART MASTER," Oh, I can't take him like that. It's against 
        regulations. "
52,DEAD PERSON, I don't want to go on the cart! 
53,CUSTOMER," Oh, don't be such a baby. "
54,CART MASTER, I can't take him. 
55,DEAD PERSON, I feel fine! 
56,CUSTOMER," Well, do us a favor. "
57,CART MASTER, I can't. 
58,CUSTOMER," Well, can you hang around a couple of minutes? He 
        won't be long. "
59,CART MASTER," No, I've got to go to the Robinsons'. They've 
        lost nine today. "
60,CUSTOMER," Well, when's your next round? "
61,CART MASTER, Thursday. 
62,DEAD PERSON, I think I'll go for a walk. 
63,CUSTOMER," You're not fooling anyone, you know. Look. Isn't 
        there something you can do? "
64,DEAD PERSON, 
65,CUSTOMER," Ah, thanks very much. "
66,CART MASTER, Not at all. See you on Thursday. 
67,CUSTOMER, Right. All right. 
68,CART MASTER, I dunno. Must be a king. 
69,CUSTOMER, Why? 
70,CART MASTER, He hasn't got shit all over him. 
71,ARTHUR, Old woman! 
72,DENNIS, Man! 
73,ARTHUR," Man. Sorry. What knight lives in that castle over 
        there? "
74,DENNIS, I'm thirty-seven. 
75,ARTHUR, I-- what? 
76,DENNIS, I'm thirty-seven. I'm not old. 
77,ARTHUR," Well, I can't just call you 'Man'. "
78,DENNIS," Well, you could say 'Dennis'. "
79,ARTHUR," Well, I didn't know you were called 'Dennis'. "
80,DENNIS," Well, you didn't bother to find out, did you? "
81,ARTHUR," I did say 'sorry' about the 'old woman', but from the 
        behind you looked-- "
82,DENNIS," What I object to is that you automatically treat me 
        like an inferior! "
83,ARTHUR," Well, I am King! "
