,name,text
0,MORRIS, I love sheep. 
1,SHEPHERD #2, So do I. Terrific animals. Terrific. 
2,MORRIS, No trouble. 
3,SHEPHERD #2," No, no trouble. "
4,SHEPHERD #1," Except at shearing. They can play up a bit, then; 
        can't they? "
5,MORRIS," Oh, yeah, but I like that sort of little burst of 
        frenzy they have then, you know. I like it when they get a little bit 
        angry. Shows they're human. "
6,SHEPHERD #1," Oh, yeah. I-- I-- I'm not saying I dislike them 
        at shearing, you know, but they can be a bit of a handful; can't they?
        "
7,MORRIS," Well, so would you be if you had a great pair of 
        scissors snippin' away while someone held your back legs apart. "
8,SHEPHERD #1, Hm. 
9,MORRIS," You'd wiggle a bit. You'd kick up a bit of a fuss. 
        Heh. "
10,SHEPHERD #1," Yeah, I-- I'm not saying I just expect them to 
        stand around in the fields and nibble the grass and look a bit pretty. 
        I-- I'm not saying that. "
11,SHEPHERD #2," Oh, but they are pretty; aren't they? "
12,MORRIS, Yeah. 
13,SHEPHERD #1," Oh, yeah. "
14,SHEPHERD #2," I mean, look at that one over there against the 
        sky. The white of the coat, the little black face against the twinkling 
        stars beyond. "
15,MORRIS, Yes. Aww. Terrific. 
16,SHEPHERD #1, Mhm. 
17,MORRIS, Terrific animals. 
18,SHEPHERD #1, Mm. 
19,SHEPHERD #2, The little lambs in springtime. 
20,MORRIS, Oh. 
21,SHEPHERD #1, Ahh. 
22,MORRIS," The lambs, eh? Now you're talking. They're lovely, eh? 
        I love them. "
23,SHEPHERD #2," Oh, so do I, Morris. I love them more than 
        anything. Little white furry bundles. "
24,SHEPHERD #1, Mhmm. 
25,MORRIS," I think, of all God's creatures, sheep have the best 
        offspring. "
26,SHEPHERD #2," Oh, yes. Terrific animals. "
27,MORRIS, Mm. 
28,SHEPHERD #2, Terrific. 
29,SHEPHERD #1, Yeah. They're so sure-footed. 
30,SHEPHERD #2, Hm. 
31,MORRIS, And quick-witted. 
32,SHEPHERD #1, Are they quick-witted? 
33,MORRIS," Yeah. Yeah. Oh, yeah, they're quite, uh, quick-witted.
        "
34,SHEPHERD #1, Mhm. 
35,SHEPHERD #2, Always cheerful. Hmm. 
36,SHEPHERD #1," Well, except at shearing. Hehhehheh. "
37,MORRIS, Why are you always on about shearing? 
38,SHEPHERD #1," I'm not always on about it, Morris. "
39,MORRIS," You are a great deflator, you are. "
40,SHEPHERD #1, He was-- 
41,MORRIS," Of all the moments in their little lives, you 
        unerringly put your finger on the one moment where they lose a little 
        bit of dignity. Well, I regard that as cheap, quite honestly. "
