,name,text
0,Michael Palin, 
1,Eric Idle," This is a great moment for us, Joseph. "
2,Terry Jones, It is a great moment for France. 
3,Eric Idle," Ah, oui! "
4,Terry Jones," First ascent in a hot-air balloon, by the 
            Montgolfier brothers - 1783. I can see us now... just after 
            Montesquieu and just before Mozart. "
5,Eric Idle, I think I'll go and wash ... 
6,Terry Jones, Good luck. 
7,Eric Idle," Oh ... it's quite easy, really ... I just slap a 
            little water on my face, then... "
8,Terry Jones, No... good luck for tomorrow. 
9,Eric Idle," Oh I see, yes. You too. Yours has been the work.
            "
10,Terry Jones," Let us hope for a safe ascent... and don't use my 
            flannel. "
11,Eric Idle," You know, when you showed me the plans in Paris, 
            I could not believe that we should be the first men who would fly.
            "
12,Terry Jones, Yes ... it's wonderful. 
13,Eric Idle, I am so excited I could hardly wash. 
14,Terry Jones," Yes ... I too have had some difficulty washing 
            these past few days. "
15,Eric Idle," Still, what is washing when we are on the verge 
            of a great scientific breakthrough? "
16,Terry Jones, Jacques... 
17,Eric Idle," Yes, Joseph... "
18,Terry Jones," I have not been washing very thoroughly for many 
            years now. "
19,Eric Idle," What do you mean? You must have been washing your 
            face? "
20,Terry Jones," Oh yes, my face, I wash my face... but my legs... 
            my stomach ... my chest, they're filthy. "
21,Eric Idle," Well, I don't wash my stomach every day. "
22,Terry Jones, 
23,Eric Idle," This is nothing, Joseph... "
24,Terry Jones," I don't want to see anyone, O'Toole... tell him to 
            go away. "
25,Eric Idle," Well, it's getting late. I must go and have a 
            wash. "
26,Terry Jones, What will you be washing? 
27,Eric Idle," Oh ... just my face and neck ... perhaps my 
            feet... and possibly ... but no ... no ... lock up the plans, 
            Joseph... tomorrow they will make us the toast of France. 'The first 
            ascent by the Montgolfier brothers in a balloon'. Just after 
            Ballcock and just before Bang... what a position! "
28,Graham Chapman," So, on June 7th, 1783, the Montgolfier 
            brothers had a really good wash ... starting on his face and arms, 
            Joseph Michael Montgolfier went on to scrub his torso, his legs and 
            his naughty bits, before rinsing his whole body. That June night, he 
            and his brother between them washed seventeen square feet of body 
            area. They used a kilo and a half of catholic soap and nearly 
            fourteen gallons of nice hot water. It was indeed an impressive 
            sight. "
29,Graham Chapman," Next week on 'The Golden Age of Ballooning', 
            we examine the work of Girlsher and Coxwell, the English balloonists 
            who ascended to a height of seven miles in 1862 without washing. 
            There is also a book called 'The Golden Age of Ballooning' published 
            by the BBC to coincide with the series. It's in an attractive 
            hand-tooled binding, is priced L5 and failure to buy it will make 
            you liable to a 50 pound fine or three months' imprisonment. There's 
            also a record of someone reading the book of 'The Golden Age of 
            Ballooning', a crochet-work bedspread with the words 'The Golden Age 
            of Ballooning' on it, available from the BBC, price 18 pounds (or 
            five months' imprisonment) and there are matching toilet-seat covers 
            and courtesy mats with illustrations of many of the balloons 
            mentioned. Also available is a life-size model frog which croaks the 
            words 'The Golden Age of Ballooning' and an attractive Bakelite case 
            for storing motorway construction plans in, made in the shape of a 
            balloon. And now, another chance to see a repeat of this morning's 
            re-run of last night's second showing of episode 'two of the 
            award-winning series 'The Golden Age of Ballooning'. "
30,Carol Cleveland," Oh Joseph, all you think about is balloons... 
            all you talk about is balloons. Your beautiful house is fun of bits 
            and pieces of balloons... your books are all about balloons... every 
            time you sing a song, it is in some way obliquely connected with 
            balloons... everything you eat has to have 'balloon' incorporated in 
            the title... your dogs are an called 'balloon'... you tie balloons 
            to your ankles in the evenings. "
31,Terry Jones, I don't do that! 
32,Carol Cleveland," Well, no, you don't do that, but you do duck 
            down and shout 'Hey! Balloons!' when there are none about. Your 
            whole life is becoming obsessively balloonic, you know. Why do I 
            have to hang from this bloody gas bag all day? Don't I mean anything 
            to you? "
33,Terry Jones, 
34,Carol Cleveland, Oh there you go again! 
35,Terry Jones, Don't waggle! 
36,Eric Idle," I've run your bath for you, Joseph. "
37,Terry Jones," It's all right, we've done the difficult bit. "
38,Eric Idle," Well, don't forget we have our special guest 
            coming this evening. "
39,Terry Jones, Oh? 
40,Eric Idle," Don't tell me you have forgotten already. The man 
            who is giving us thousands of francs for our experiments. "
41,Terry Jones, What man? 
42,Eric Idle, Louis XIV! 
43,Terry Jones, Isn't he dead? 
44,Eric Idle, Evidently not... 
45,Terry Jones," All right, I'll be round. "
46,Eric Idle," Oh, and Joseph... "
47,Terry Jones," Yes, Jacques? "
48,Eric Idle, You will... wash... won't you? 
49,Terry Jones," Yes, of course! "
0,Graham Chapman," His Royal Majesty, Louis XIV of France. "
1,Eric Idle," Your Majesty. It's a great privilege. Welcome to 
            our humble abode. "
2,Michael Palin, 
3,Eric Idle, 
4,Graham Chapman, Sir? 
5,Eric Idle, Claret for His Majesty please. 
6,Graham Chapman," There's a Mr. Bartlett outside again, sir. "
7,Eric Idle," Not now, I can't see him, we have the King of 
            France here. "
8,Graham Chapman," Yes, sir. "
9,Eric Idle," Your Majesty. You had a pleasant journey, I 
            trust? "
10,Michael Palin," Yes... yes, oh definitely... yes... yes. Oh aye, 
            aye. "
11,Eric Idle, You have come from Paris? 
12,Michael Palin, Where? 
13,Eric Idle, From Paris... you have traveled from Paris? 
14,Michael Palin," Oh yes, we've come from Paris... yes... yes, yes, 
            we've just come from... er... Paris... yes. "
15,Graham Chapman, Sir? 
16,Eric Idle," Yes, O'Toole? "
17,Graham Chapman," Which one is the claret, sir? "
18,Eric Idle, The claret is in the decanter. 
19,Graham Chapman, The wooden thing? 
20,Eric Idle," No no... the glass thing... the glass decanter 
            with the round glass stopper. "
21,Graham Chapman," Oh yes, behind the door. "
22,Eric Idle, No no... on the sideboard. 
23,Graham Chapman, The sideboard? 
24,Eric Idle," The sideboard... yes. Look... you go into the 
            salle a manger ... the dining room, right? - and the sideboard is on 
            your left, by the wall, beside the master's portrait. "
25,Graham Chapman," Ah! Above the mirror, sir? "
26,Eric Idle," No! No! The mirror is on the other side. It's 
            opposite the mirror. "
27,Graham Chapman," But that's the table, sir. "
28,Eric Idle," No... you don't go as far as the table. You go 
            into the room, right?... on your right is the door to the orangery, 
            straight ahead of you is the door to the library, and to your left 
            is the sideboard. "
29,Graham Chapman," Ah, yes, I see, sir... "
30,Eric Idle," And the claret is on top of the sideboard, to the 
            left. "
31,Graham Chapman, On the left. 
32,Eric Idle, Yes... 
33,Graham Chapman," As one looks at it, sir? "
34,Eric Idle, Yes. 
35,Graham Chapman," I see, sir, thank you. "
36,Eric Idle, O'Toole. 
37,Graham Chapman," Yes, sir. "
38,Eric Idle," Will you please tell Monsieur Joseph our guest is 
            here. "
39,Graham Chapman," Yes, sir. "
40,Eric Idle," I'm sorry about that, Your Majesty. "
41,Graham Chapman, 
42,Eric Idle," Not now, O'Toole! "
43,Michael Palin," Well... er... Mr. Montgolfier... let's not beat 
            around the bush ... my... dukes and I are very busy men. What we'd 
            like to do is see the plans of your proposed balloon... if that's at 
            all possible. "
44,Eric Idle," Certainly, Your Majesty... I have them here ready 
            prepared. "
45,Michael Palin," Oh, great .... then... what we would like to do ... 
            is er... to take them back wi'us for the Royal Archives of er... "
46,Michael Palin," France, aye. "
47,Eric Idle," Well, it is indeed a great honor Your Majesty, 
            that I cannot refuse. "
48,Michael Palin, Right! OK! Let's get 'em. 
49,Terry Jones, Just a moment! 
50,Eric Idle, Joseph! 
51,Terry Jones, 
52,Eric Idle, Joseph Are you out of your mind! 
53,Terry Jones," I've been looking it up in my bath. Louis XIV died 
            in 1717. It's now 1783! Answer me that! "
54,Michael Palin," Did I say Louis XIV? Oh, sorry, I meant Louis XV... 
            Louis XV. "
55,Terry Jones, He died in 1774! 
56,Michael Palin," All right, Louis XVI!... listen to me, smartarse, 
            when you're King of France,... you've got better things ,to do than 
            go around all day remembering your bloody number. "
57,Terry Jones, Aaaaaarh! 
58,Michael Palin, Right! You want to argue about numbers? 
59,Eric Idle," Er... no, no. "
60,Michael Palin," Right, well... lees get hold of the plans for the 
            Royal Archives. We've got to get back to... er... "
61,Michael Palin, Paris by tonight so get a move on.. 
62,Terry Jones, Aaaargh! Ow! Ooooohh! 
63,Graham Chapman," I got as far as the sideboard, sir... "
64,Terry Jones, Stop them... oh! Ah... oooooohh! 
65,Graham Chapman, 
66,Terry Jones," Stop... ow! Stop them, O'Toole for... oh! shit! 
            God's sake... stop them, they've got the plans! "
67,Michael Palin," Will Louis XVI get away with the Montgolfiers' 
            precious plans? Is sixteen years of work to be stolen by this 
            suspect sovereign? Is France really in the grip of a Glaswegian 
            monarch? Watch next week's episode of 'The Golden Age of 
            Ballooning'... Now! "
68,Graham Chapman," ... But now that the Government has 
            collapsed ... and shown itself incapable of providing any son of 
            unifying force, I feel we do need the stability and the breathing 
            space that a military presence would provide. "
69,Michael Palin, Lord Interest? 
70,Eric Idle," Oh yes... I agree that the army should take 
            over, but I think it should not interfere with the program of street 
            executions, which I feel have been the shot in the arm that the 
            British economy so desperately needed. "
71,Michael Palin," The Montgolfier brothers' plans did indeed turn 
            up... six months later, and a long way from Paris, at the court of 
            King George III of England. "
0,Eric Idle," ... Titty was very worried. Where could Mary be? 
            He looked everywhere. Under the stones and behind the bushes... and 
            Mr. Squirrel helped him by looking up in the trees, and Mr. Badger 
            helped him by looking under the ground... "
1,Eric Idle," ... and so, Your Majesty, we the Commons do herein 
            crave and beseech that... "
2,Graham Chapman, Enter! 
3,Terry Jones, Your Majesty... Louis XVIII is here! 
4,Graham Chapman, Who is Louis XVIII? 
5,Terry Jones," The King of France, Your Majesty! This is a 
            great moment to have, sir. "
6,Graham Chapman, There is no Louis XVIII. 
7,Terry Jones," He craves Your Majesty's pardon. He has had a 
            long journey here and miscounted... He is Louis XVII. "
8,Graham Chapman, Louis XVI is dead already? 
9,Terry Jones," Aaaaaaaaaaaaghh! Oh my God! Oh... ah... oh 
            Christ! "
10,Michael Palin, 
11,Graham Chapman, George III 
12,Michael Palin, George III Sorry. Where can we talk? 
13,Terry Jones," OH God! ... did you see that?... Oh!... 
            aaaargh! Oh dear! "
14,Graham Chapman," We shall have a state banquet at St James' 
            Palace! "
15,Michael Palin," No look, I can't hang about. It's take it or 
            leave... we got to get back to... er... "
16,Michael Palin," Paris, by tonight... "
17,Graham Chapman," Must you leave us, Louis? "
18,Michael Palin," I'd rather just sell the plans and nip off, Georgie 
            boy. "
19,Graham Chapman," All right... we will buy the plans... if you 
            will undertake to disengage your troops in America. "
20,Michael Palin, Do what? 
21,Graham Chapman," And, I shall give you £10,000 for the plans...
            "
22,Michael Palin," Ten thousand pounds! Right, well, we'll disengage 
            the, urn, you know... like you said - we'll disengage 'em... tell 
            you what, hen, I'll put a duke on to it... OK? Right! "
23,Terry Jones, 
24,Michael Palin," You asked for it, sonny. "
25,Terry Jones, You could have broken my bloody nose! 
26,Graham Chapman, North! Please! 
27,Terry Jones, You saw it! It was right on the bone. 
28,Graham Chapman," North! Will you send for the Duke of Portland 
            ... we have a financial matter to discuss. "
29,Terry Jones," Well, it really hurt. "
30,Michael Palin," No, look, I think it's better if you give the money 
            to us. We're going back. We've got a bag. "
31,Graham Chapman," No, no... don't worry, Louis. We shall talk to 
            your Monsieur Necker. "
